Y,X,Capacity Source,Short Name,Movement,State,Smoothed Occupancy (%),Smoothed Total Flow (veh/h),System,
-37.825233,144.829434,Upper Limit,2541EL_P0,"Combined Entry MVT on Grieve Pde, West Gate Fwy North Ramps, Grieve Pde Byp Start EB between Grieve ",OK,11.39,665.14,VicRoads Production,
-37.825234,144.829502,Upper Limit,2541EL_P1,"Combined Entry MVT on Grieve Pde, West Gate Fwy North Ramps, Grieve Pde Byp Start EB between Grieve ",OK,9.17,679.85,VicRoads Production,
-37.732708,144.881846,Measured,1917EL_P0,Combined Entry MVT on Keilor Rd WB between Keilor Rd And Coinston Ave & Mcnamara Ave Calder Fwy Nort,OK,4.03,344.74,VicRoads Production,
-37.732701,144.881781,Measured,1917EL_P1,Combined Entry MVT on Keilor Rd WB between Keilor Rd And Coinston Ave & Mcnamara Ave Calder Fwy Nort,OK,4.01,344.93,VicRoads Production,
-37.732571,144.881337,Measured,1917M0_P0,Combined Entry MVT on Keilor Rd WB between Keilor Rd And Coinston Ave & Mcnamara Ave Calder Fwy Nort,OK,3.55,291.83,VicRoads Production,
-37.732541,144.88129,Measured,1917M0_P1,Combined Entry MVT on Keilor Rd WB between Keilor Rd And Coinston Ave & Mcnamara Ave Calder Fwy Nort,OK,3.14,257.54,VicRoads Production,
-37.73238,144.880801,Measured,1917M1_P0,Combined Entry MVT on Keilor Rd WB between Keilor Rd And Coinston Ave & Mcnamara Ave Calder Fwy Nort,OK,3.82,115.36,VicRoads Production,
-37.73237,144.880735,Measured,1917M1_P1,Combined Entry MVT on Keilor Rd WB between Keilor Rd And Coinston Ave & Mcnamara Ave Calder Fwy Nort,OK,3.64,114.69,VicRoads Production,
-37.731597,144.880734,Measured,1917ER_P0,Combined Entry MVT on Mcnamara Ave SB between Mcnamara Ave And Overs St & Calder Fwy North Ramps,OK,2.89,231.63,VicRoads Production,
-37.731651,144.880728,Measured,1917ER_P1,Combined Entry MVT on Mcnamara Ave SB between Mcnamara Ave And Overs St & Calder Fwy North Ramps,OK,2.87,234.63,VicRoads Production,
-37.731866,144.880704,Measured,1917M2_P0,Combined Entry MVT on Mcnamara Ave SB between Mcnamara Ave And Overs St & Calder Fwy North Ramps,OK,3.47,231.64,VicRoads Production,
-37.731919,144.880697,Measured,1917M2_P1,Combined Entry MVT on Mcnamara Ave SB between Mcnamara Ave And Overs St & Calder Fwy North Ramps,OK,3.88,251.66,VicRoads Production,
-37.732225,144.88067,Measured,1917M3_P0,Combined Entry MVT on Mcnamara Ave SB between Mcnamara Ave And Overs St & Calder Fwy North Ramps,OK,11.78,341.09,VicRoads Production,
-37.732276,144.880689,Measured,1917M3_P1,Combined Entry MVT on Mcnamara Ave SB between Mcnamara Ave And Overs St & Calder Fwy North Ramps,OK,18.22,329.68,VicRoads Production,
-38.026253,145.246161,Upper Limit,1135EL_P0,Combined Entry MVT on South Gippsland Fwy On Ramp NB between Pound Rd & Pound Rd Byp Start,Failed,,,VicRoads Production,
-38.026253,145.246161,Upper Limit,1135ER_P0,Combined Entry MVT on South Gippsland Fwy On Ramp NB between Pound Rd & Pound Rd Byp Start,Failed,,,VicRoads Production,
-38.026199,145.246149,Upper Limit,1135EL_P1,Combined Entry MVT on South Gippsland Fwy On Ramp NB between Pound Rd & Pound Rd Byp Start,Failed,,,VicRoads Production,
-38.026199,145.246149,Upper Limit,1135ER_P1,Combined Entry MVT on South Gippsland Fwy On Ramp NB between Pound Rd & Pound Rd Byp Start,Failed,,,VicRoads Production,
-38.003519,145.250862,Upper Limit,1136EL_P0,Combined Entry MVT on South Gippsland Fwy On Ramp NEB between Princes Hwy East South Gippsland Fwy W,Fault,6.53,950.87,VicRoads Production,
-38.003495,145.250922,Upper Limit,1136EL_P1,Combined Entry MVT on South Gippsland Fwy On Ramp NEB between Princes Hwy East South Gippsland Fwy W,OK,5.70,748.51,VicRoads Production,
-37.82437,144.84951,Measured,2542EL_P0,Combined Entry MVT on West Gate Fwy On Ramp EB between Millers Rd And West Gate Fwy North Ramps & Mi,Failed,,,VicRoads Production,
-37.824371,144.849651,Measured,2542EL_P1,Combined Entry MVT on West Gate Fwy On Ramp EB between Millers Rd And West Gate Fwy North Ramps & Mi,Failed,,,VicRoads Production,
-37.825305,144.830715,,7857IB_N_P0,"Combined Merge MVT on Grieve Pde Byp End, West Gate Fwy And Grieve Pde On Ramp (ib) EB between Griev",Unknown,,,VicRoads Production,
-37.825309,144.830783,,7857IB_N_P1,"Combined Merge MVT on Grieve Pde Byp End, West Gate Fwy And Grieve Pde On Ramp (ib) EB between Griev",Unknown,,,VicRoads Production,
-37.824435,144.852447,,7853IB_N_P0,Combined Merge MVT on West Gate Fwy On Ramp EB between Millers Rd Ib Byp End & West Gate Fwy And Mil,Unknown,,,VicRoads Production,
-37.824437,144.852504,,7853IB_N_P1,Combined Merge MVT on West Gate Fwy On Ramp EB between Millers Rd Ib Byp End & West Gate Fwy And Mil,Unknown,,,VicRoads Production,
-37.737244,144.931275,Upper Limit,1454EL_P0,Freeway MVT on Bell St On Ramp WB before Pascoe Vale Rd Connection,OK,10.28,1115.30,VicRoads Production,
-37.737223,144.931212,Upper Limit,1454EL_P1,Freeway MVT on Bell St On Ramp WB before Pascoe Vale Rd Connection,OK,8.82,1822.97,VicRoads Production,
-37.736401,144.928763,Upper Limit,1454M_P0,Freeway MVT on Bell St On Ramp WB before Pascoe Vale Rd Connection,OK,9.84,1815.05,VicRoads Production,
-37.73638,144.928699,Measured,1454M_P1,Freeway MVT on Bell St On Ramp WB before Pascoe Vale Rd Connection,OK,18.67,1666.09,VicRoads Production,
-37.733971,144.895276,Upper Limit,MMS 14502EBc,"Freeway MVT on Buller Rd Exit, Calder Fwy, Tullamarine Fwy Join (ib) EB between Buller Rd Exit & Cal",Failed,,,VicRoads Production,
-37.735018,144.894947,,14352OB_L1P0,Freeway MVT on Calder Fwy Bulla Rd On Ramp (ob),Unknown,,,VicRoads Production,
-37.735012,144.894879,,14352OB_L1P1,Freeway MVT on Calder Fwy Bulla Rd On Ramp (ob),Unknown,,,VicRoads Production,
-37.731234,144.877014,Measured,14642IB_L_P0,Freeway MVT on Calder Fwy EB between Fullarton Rd On Ramp (ib) & Mcnamara Rd Off Ramp (ib),OK,6.41,3449.99,VicRoads Production,
-37.731256,144.877076,Upper Limit,14642IB_L_P1,Freeway MVT on Calder Fwy EB between Fullarton Rd On Ramp (ib) & Mcnamara Rd Off Ramp (ib),OK,10.49,3313.56,VicRoads Production,
-37.724391,144.845585,Lower Limit,MMS 14509 EB,Freeway MVT on Calder Fwy EB between Keilor Park Dr Off Ramp (ib) & Keilor Park Dr On Ramp (ib),Failed,,,VicRoads Production,
-37.725976,144.85166,Upper Limit,14508IB_L,Freeway MVT on Calder Fwy EB between Keilor Park Dr Off Ramp (ib) & Keilor Park Dr On Ramp (ib),Failed,,,VicRoads Production,
-37.725199,144.847608,Upper Limit,14520IB_L,Freeway MVT on Calder Fwy EB between Keilor Park Dr Off Ramp (ib) & Keilor Park Dr On Ramp (ib),Failed,,,VicRoads Production,
-37.726024,144.851707,Upper Limit,14508IB_L1,Freeway MVT on Calder Fwy EB between Keilor Park Dr Off Ramp (ib) & Keilor Park Dr On Ramp (ib),Failed,,,VicRoads Production,
-37.725114,144.847342,Upper Limit,14649IB_L_P0,Freeway MVT on Calder Fwy EB between Keilor Park Dr Off Ramp (ib) & Keilor Park Dr On Ramp (ib),Failed,,,VicRoads Production,
-37.725135,144.847405,Upper Limit,14649IB_L_P1,Freeway MVT on Calder Fwy EB between Keilor Park Dr Off Ramp (ib) & Keilor Park Dr On Ramp (ib),Failed,,,VicRoads Production,
-37.726195,144.853599,Upper Limit,14647IB_L_P0,Freeway MVT on Calder Fwy EB between Keilor Park Dr Off Ramp (ib) & Keilor Park Dr On Ramp (ib),OK,5.90,2304.77,VicRoads Production,
-37.7262,144.853666,Upper Limit,14647IB_L_P1,Freeway MVT on Calder Fwy EB between Keilor Park Dr Off Ramp (ib) & Keilor Park Dr On Ramp (ib),OK,5.93,2312.07,VicRoads Production,
-37.725518,144.848736,Upper Limit,14672IB_L_P0,Freeway MVT on Calder Fwy EB between Keilor Park Dr Off Ramp (ib) & Keilor Park Dr On Ramp (ib),OK,5.74,2339.80,VicRoads Production,
-37.725534,144.848801,Upper Limit,14672IB_L_P1,Freeway MVT on Calder Fwy EB between Keilor Park Dr Off Ramp (ib) & Keilor Park Dr On Ramp (ib),OK,5.81,2347.17,VicRoads Production,
-37.726834,144.857704,Measured,14671IB_L_P0,Freeway MVT on Calder Fwy EB between Keilor Park Dr On Ramp (ib) & Western Ring Rd Off Ramp (ib),OK,5.98,2784.12,VicRoads Production,
-37.726846,144.857771,Measured,14671IB_L_P1,Freeway MVT on Calder Fwy EB between Keilor Park Dr On Ramp (ib) & Western Ring Rd Off Ramp (ib),OK,6.05,2783.56,VicRoads Production,
-37.733413,144.883396,Upper Limit,14503IB_L,Freeway MVT on Calder Fwy EB between Mcnamara Rd Off Ramp (ib) & Mcnamara Rd On Ramp (ib),Failed,,,VicRoads Production,
-37.732316,144.879816,Upper Limit,14504IB_L,Freeway MVT on Calder Fwy EB between Mcnamara Rd Off Ramp (ib) & Mcnamara Rd On Ramp (ib),Failed,,,VicRoads Production,
-37.732794,144.881132,Upper Limit,14639IB_L_P0,Freeway MVT on Calder Fwy EB between Mcnamara Rd Off Ramp (ib) & Mcnamara Rd On Ramp (ib),OK,8.61,2863.59,VicRoads Production,
-37.732813,144.881195,Upper Limit,14639IB_L_P1,Freeway MVT on Calder Fwy EB between Mcnamara Rd Off Ramp (ib) & Mcnamara Rd On Ramp (ib),OK,8.65,2868.83,VicRoads Production,
-37.733761,144.885071,Upper Limit,14638IB_L_P0,Freeway MVT on Calder Fwy EB between Mcnamara Rd On Ramp (ib) & Bulla Rd Off Ramp (ib),OK,9.51,3073.58,VicRoads Production,
-37.733772,144.885137,Upper Limit,14638IB_L_P1,Freeway MVT on Calder Fwy EB between Mcnamara Rd On Ramp (ib) & Bulla Rd Off Ramp (ib),OK,9.43,3086.65,VicRoads Production,
-37.72805,144.863729,Measured,14506IB_L,Freeway MVT on Calder Fwy EB between Western Ring Rd Off Ramp (ib) & Western Ring Rd On Ramp (ib),Failed,,,VicRoads Production,
-37.727218,144.859657,Upper Limit,14507IB_LP0,Freeway MVT on Calder Fwy EB between Western Ring Rd Off Ramp (ib) & Western Ring Rd On Ramp (ib),Failed,,,VicRoads Production,
-37.727232,144.859722,Measured,14507IB_LP1,Freeway MVT on Calder Fwy EB between Western Ring Rd Off Ramp (ib) & Western Ring Rd On Ramp (ib),Failed,,,VicRoads Production,
-37.72718,144.859469,Measured,14646IB_L_P0,Freeway MVT on Calder Fwy EB between Western Ring Rd Off Ramp (ib) & Western Ring Rd On Ramp (ib),Fault,5.36,1994.46,VicRoads Production,
-37.728256,144.864753,Measured,14645IB_L_P0,Freeway MVT on Calder Fwy EB between Western Ring Rd Off Ramp (ib) & Western Ring Rd On Ramp (ib),Fault,4.90,1998.22,VicRoads Production,
-37.728269,144.86482,Measured,14645IB_L_P1,Freeway MVT on Calder Fwy EB between Western Ring Rd Off Ramp (ib) & Western Ring Rd On Ramp (ib),Fault,3.40,1601.09,VicRoads Production,
-37.727193,144.859536,Measured,14646IB_L_P1,Freeway MVT on Calder Fwy EB between Western Ring Rd Off Ramp (ib) & Western Ring Rd On Ramp (ib),OK,4.94,1812.30,VicRoads Production,
-37.729879,144.872414,Measured,14505IB_L,Freeway MVT on Calder Fwy EB between Western Ring Rd On Ramp (ib) & Fullarton Rd On Ramp (ib),Failed,,,VicRoads Production,
-37.729278,144.869825,Measured,14644IB_L_P1,Freeway MVT on Calder Fwy EB between Western Ring Rd On Ramp (ib) & Fullarton Rd On Ramp (ib),Fault,5.47,3120.54,VicRoads Production,
-37.729939,144.872654,Measured,14643IB_L_P0,Freeway MVT on Calder Fwy EB between Western Ring Rd On Ramp (ib) & Fullarton Rd On Ramp (ib),OK,5.20,3026.08,VicRoads Production,
-37.729955,144.872719,Measured,14643IB_L_P1,Freeway MVT on Calder Fwy EB between Western Ring Rd On Ramp (ib) & Fullarton Rd On Ramp (ib),OK,5.21,3026.74,VicRoads Production,
-37.729264,144.86976,Measured,14644IB_L_P0,Freeway MVT on Calder Fwy EB between Western Ring Rd On Ramp (ib) & Fullarton Rd On Ramp (ib),OK,5.36,2945.97,VicRoads Production,
-37.708668,144.821321,Upper Limit,14514OB_L,Freeway MVT on Calder Fwy NWB between Green Gully Rd Off Ramp (ob) & Melton Hwy Off Ramp (ob),Failed,,,VicRoads Production,
-37.707794,144.819486,Upper Limit,14516OB_L,Freeway MVT on Calder Fwy NWB between Green Gully Rd Off Ramp (ob) & Melton Hwy Off Ramp (ob),Failed,,,VicRoads Production,
-37.708643,144.821261,Upper Limit,14514OB_L1,Freeway MVT on Calder Fwy NWB between Green Gully Rd Off Ramp (ob) & Melton Hwy Off Ramp (ob),Failed,,,VicRoads Production,
-37.713456,144.832864,Upper Limit,14512OB_L,Freeway MVT on Calder Fwy NWB between Green Gully Rd Off Ramp (ob) & Melton Hwy Off Ramp (ob),OK,7.59,6004.91,VicRoads Production,
-37.711382,144.828529,Upper Limit,14513OB_L,Freeway MVT on Calder Fwy NWB between Green Gully Rd Off Ramp (ob) & Melton Hwy Off Ramp (ob),OK,8.57,5996.54,VicRoads Production,
