Time	7859OB_L1P0	7859OB_L1P1	7857OB_L1P0	7857OB_L1P1	7855OB_L1P0	7855OB_L1P1	7854OB_L1P0	7854OB_L1P1	7853OB_L_P0	7853OB_L_P1	7852OB_L_P0	7852OB_L_P1	7851OB_L_P0	7851OB_L_P1	7850OB_L_P0	7850OB_L_P1
1	1.86	1.89	3.30	2.65	1.46	1.41	1.54	1.60	2.49	2.54	1.91	1.86	1.83	1.79	0.72	0.77
2	1.88	1.03	1.91	1.05	0.85	0.86	1.21	1.21	1.81	1.82	1.41	1.44	1.20	1.19	0.45	0.45
3	1.45	1.43	2.76	1.03	0.75	0.73	0.93	0.95	1.26	1.26	1.17	1.11	1.10	1.05	0.17	0.19
4	1.12	0.98	1.03	1.03	0.85	0.87	1.15	1.18	1.15	1.15	1.37	1.27	1.21	1.18	0.16	0.18
5	1.59	1.48	2.45	1.61	1.26	1.32	1.71	1.69	1.50	1.50	1.93	1.89	1.79	1.73	0.16	0.19
6	4.26	4.19	4.76	5.26	3.94	4.58	3.88	3.91	2.78	2.83	4.09	4.03	4.46	4.37	0.90	0.96
7	7.95	7.82	9.00	8.75	7.07	7.15	7.01	6.98	5.15	5.65	8.22	8.06	8.33	8.21	2.22	2.27
8	9.60	9.44	10.35	10.58	8.46	8.69	9.02	9.02	6.62	6.72	9.89	9.66	10.49	10.33	3.24	3.12
9	8.16	8.01	9.18	9.49	7.99	8.13	8.01	8.04	6.59	6.74	8.48	8.37	9.21	9.14	3.70	3.59
10	8.95	8.74	10.01	10.09	8.12	8.19	7.76	7.80	7.38	7.55	8.87	8.69	8.75	8.64	5.44	4.97
11	9.25	9.01	10.92	11.23	9.59	9.59	8.84	9.27	8.19	8.45	10.33	10.13	10.31	10.16	7.06	6.71
12	8.87	8.68	10.30	10.84	9.45	9.47	8.14	8.36	8.40	8.72	9.44	9.30	8.92	8.75	7.44	6.97
13	9.47	9.25	11.16	11.39	9.06	9.11	9.02	9.12	8.27	8.54	9.55	9.39	9.11	8.96	7.69	7.22
14	9.99	9.76	11.54	12.21	9.51	9.75	9.67	9.99	8.21	8.51	10.04	9.91	9.71	9.46	7.34	6.99
15	11.25	11.05	13.31	13.22	11.04	11.07	11.27	11.73	9.49	9.83	11.60	11.37	11.21	10.98	7.94	7.55
16	13.74	13.67	16.00	16.21	14.79	14.92	11.89	12.27	10.91	11.31	12.15	12.00	13.28	12.98	8.65	8.01
17	10.87	10.70	11.56	12.25	9.80	9.86	10.41	10.79	11.85	12.26	12.26	12.07	13.48	13.28	7.82	7.26
18	8.00	7.88	8.92	8.29	6.74	6.94	11.53	11.97	11.94	12.28	13.23	13.04	18.18	18.17	6.81	6.44
19	11.70	11.50	12.55	12.79	9.79	9.93	7.43	7.72	8.88	9.16	9.26	9.16	13.92	13.89	5.12	4.87
20	8.35	8.26	9.30	9.83	6.92	7.17	5.10	5.16	5.85	6.00	6.32	6.19	7.15	7.02	3.67	3.47
21	6.21	6.12	7.05	6.55	5.59	5.49	4.86	5.11	4.74	4.88	5.89	5.72	6.37	6.18	2.94	2.76
22	6.12	6.16	7.77	7.11	5.44	5.52	4.66	4.51	4.74	4.89	5.54	5.19	6.03	5.92	3.47	3.30
23	4.86	4.68	6.07	5.38	4.04	4.07	3.59	3.67	4.55	4.63	4.37	4.24	4.96	5.03	4.36	4.06
24	3.92	3.97	5.17	4.15	3.34	3.27	2.22	2.34	3.55	3.64	2.92	2.74	3.65	3.49	3.22	3.05
